"magnitude","accelaration","status","depth","water_depth","total_stress","effective_stress","test_value","CSR","type"
6.9,0.23,"NO",3.65,2.3,57.18,43.94,328.6,0.18,"SWV"
6.9,0.46,"NO",3.65,3,54.03,47.66,319.2,0.31,"SWV"
6.9,0.36,"Yes",2.9,1.5,46.9,33.17,114.9,0.31,"SWV"
6.9,0.36,"Yes",2.3,1.4,36.25,27.43,124.5,0.3,"SWV"
6.9,0.3,"Yes",2.2,1.2,35.3,25.49,135.6,0.26,"SWV"
6.9,0.36,"Yes",3.2,1.8,51.11,37.37,123.4,0.3,"SWV"
6.9,0.36,"Yes",3.2,1.8,51.11,37.37,148.1,0.3,"SWV"
6.9,0.5,"NO",2.4,0.8,40.8,25.11,232.6,0.5,"SWV"
6.9,0.36,"Yes",2.85,2,43.73,35.39,167.9,0.27,"SWV"
6.9,0.36,"Yes",2.35,1.5,36.73,28.39,170.9,0.29,"SWV"
6.9,0.36,"Yes",2.45,1.5,38.58,29.26,141.7,0.29,"SWV"
6.9,0.36,"Yes",2.35,1.5,36.73,28.39,175.5,0.29,"SWV"
6.9,0.36,"Yes",2.35,1.5,36.73,28.39,155.8,0.29,"SWV"
6.9,0.5,"Yes",2.9,0.8,50.05,29.45,216,0.52,"SWV"
6.9,0.5,"Yes",2.85,0.8,49.13,29.02,167.1,0.52,"SWV"
6.9,0.36,"Yes",2.65,1.5,42.28,31,195.2,0.3,"SWV"
6.2,0.18,"NO",3.5,0.5,62.5,33.07,159.2,0.2,"SWV"
6.2,0.16,"NO",3.5,0.5,62.5,33.07,159.2,0.18,"SWV"
6.6,0.18,"NO",3.5,0.5,62.5,33.07,159.2,0.24,"SWV"
6.2,0.04,"NO",3.5,0.5,62.5,33.07,159.2,0.05,"SWV"
6,0.06,"NO",3.5,0.5,62.5,33.07,159.2,0.07,"SWV"
6,0.06,"NO",14.8,1.4,267.73,135.78,152.7,0.04,"SWV"
6,0.06,"NO",6.15,1.4,107.7,60.62,153.8,0.06,"SWV"
6.5,0.1,"NO",9.1,6.2,140.47,112.02,110.8,0.06,"SWV"
6.5,0.18,"NO",3.3,2,52.06,39.3,158.5,0.14,"SWV"
6.5,0.18,"NO",3.3,2,52.06,39.3,155.7,0.14,"SWV"
6.5,0.18,"NO",3.15,2,49.28,38,203.9,0.14,"SWV"
6.5,0.18,"NO",3.15,2,49.28,38,211.7,0.14,"SWV"
6.5,0.15,"NO",3.25,2.5,48.88,41.52,117.1,0.11,"SWV"
6.5,0.19,"NO",3.15,1.4,51.98,34.81,146,0.17,"SWV"
6.5,0.15,"NO",3.35,2.7,49.83,43.46,99.4,0.1,"SWV"
6.5,0.15,"NO",3.35,2.7,49.83,43.46,114.6,0.1,"SWV"
6.5,0.2,"Yes",4.65,1.5,79.28,48.38,122.9,0.19,"SWV"
6.5,0.2,"Yes",4.65,1.5,79.28,48.38,136.7,0.19,"SWV"
6.5,0.2,"Yes",4.65,1.5,79.28,48.38,133.6,0.19,"SWV"
5.9,0.03,"NO",3.3,2,52.06,39.3,158.5,0.02,"SWV"
5.9,0.03,"NO",3.3,2,52.06,39.3,155.7,0.02,"SWV"
5.9,0.03,"NO",3.15,2,49.28,38,203.9,0.02,"SWV"
5.9,0.03,"NO",3.15,2,49.28,38,211.7,0.02,"SWV"
5.9,0.15,"NO",4.25,2.5,67.38,50.21,117.1,0.12,"SWV"
5.9,0.05,"NO",3.15,1.4,51.98,34.81,146,0.05,"SWV"
5.9,0.11,"NO",4.4,2,72.41,48.86,98.3,0.09,"SWV"
