Mw,Liq,Crit. Depth,Depthto,Svo,Esvo,Amax,rd,VS1,CSR,DWF,CSR*,Pl,CRR
7.9,Yes,6,1,106.5,57.45,0.21,0.83,139,0.21,0.936430828,0.224,2.848672505,0.051375763
7.9,Yes,4.05,1,70.43,40.51,0.23,0.9,131.9,0.23,0.936430828,0.246,3.505477436,0.040671028
7.9,Yes,2.75,0.8,47.28,28.15,0.2,0.96,148.5,0.21,0.936430828,0.224,2.393297408,0.064343325
7.9,Yes,6.5,1,115.75,61.8,0.15,0.62,109.9,0.08,0.936430828,0.085,-0.010762916,0.080426695
7.4,Yes,3,1,51,31.38,0.2,0.97,116.9,0.2,1.022309252,0.196,3.115519672,0.042883562
7.4,Yes,4.3,1.4,73.25,44.81,0.2,0.96,144.4,0.2,1.022309252,0.196,2.046288843,0.07274427
7.4,Yes,9,2.7,162.85,101.05,0.24,0.81,171.3,0.2,1.022309252,0.196,0.583935431,0.149861335
7.4,Yes,4.6,2,76.11,50.6,0.28,0.91,140.9,0.25,1.022309252,0.245,3.111850785,0.053701743
7.4,NO,4.55,2,75.18,50.17,0.28,0.77,172.2,0.21,1.022309252,0.205,0.709444155,0.147889975
7.4,Yes,7.5,2.6,127.06,78.99,0.2,0.77,160.4,0.16,1.022309252,0.157,0.330075595,0.135915821
7.4,Yes,5.5,0.5,99.5,50.45,0.32,0.88,171.8,0.36,1.022309252,0.352,2.916277836,0.085178533
7.4,Yes,7.5,2.7,133.9,86.82,0.24,0.61,110.2,0.15,1.022309252,0.147,2.175572802,0.051181092
7.4,Yes,5.25,2.5,85.88,58.9,0.2,0.87,165.2,0.16,1.022309252,0.157,0.045484529,0.156443251
7.4,Yes,4.5,0.5,80.54,41.54,0.24,0.87,143.1,0.26,1.022309252,0.254,3.166696064,0.054356227
7.4,Yes,5.75,0.5,104.13,52.62,0.24,0.79,165.1,0.25,1.022309252,0.245,1.855054229,0.099944035
7.1,Yes,8.75,1.5,155.13,84.01,0.12,0.72,133,0.1,1.080693539,0.093,-0.474934012,0.126457181
7.1,Yes,7.25,1.5,127.38,70.97,0.12,0.79,101.3,0.11,1.080693539,0.102,0.928698697,0.069510377
7.1,Yes,4.5,0.5,81,41.76,0.12,0.9,107,0.14,1.080693539,0.130,1.745688318,0.059077219
7.1,Yes,1.9,0.5,32.9,19.17,0.12,0.97,101.9,0.13,1.080693539,0.120,1.562857073,0.06004539
7.1,NO,10.25,1,185.13,94.39,0.12,0.67,122.5,0.1,1.080693539,0.093,-0.078659472,0.103964262
7.1,Yes,4,1,69.5,40.07,0.12,0.91,152.1,0.12,1.080693539,0.111,-0.625849045,0.163500207
8,NO,5,3,79.01,59.39,0.4,0.98,229.9,0.34,0.920755871,0.369,-1.833797217,0.841587507
8,Yes,6.55,3,107.22,72.64,0.45,0.88,175.6,0.38,0.920755871,0.413,3.318979785,0.073683832
8,Yes,7.5,3.7,122.11,84.83,0.45,0.9,195.5,0.38,0.920755871,0.413,1.859639887,0.151571017
8,Yes,6,1,90,40.95,0.4,0.79,172.7,0.45,0.920755871,0.489,4.181363991,0.056976049
